,MSE,R2
LinearRegression,23.536239959892235,0.35123033635750733
RandomForest,22.295949354,0.38541858905100734
GradientBoosting,28.58009072084016,0.21219804542151277
LightGBM,25.803866760014003,0.2887238578847905
XGBoost,22.557585998196103,0.37820665044310264
